fecha;propietario_mnemotecnico;propietario_nombre;balance_energia;balance_valorizado
2025-01-01;G0130;PARQUE EÓLICO EL ARRAYÁN SPA;9863388,0;608051744,0
2025-01-01;G0132;PARQUE EÓLICO LOS CURUROS SPA;14761784,0;628712872,0
2025-01-01;G0133;ENERGÍA LEÓN S.A.;24669,0;8220901,0
2025-01-01;G0136;ALBA SPA;2872074,0;369705670,0
2025-01-01;G0137;GENERADORA ELÉCTRICA PEHUI LTDA;153556,0;19262528,0
2025-01-01;G0140;COMMONPLACE ENERGY SPA;90546,0;346600,0
2025-01-01;G0141;PV SALVADOR S.A.;-4682133,0;-322349643,0
2025-01-01;G0142;ENERGÍAS UCUQUER DOS S.A.;922507,0;38788503,0
2025-01-01;G0144;PUNTA PALMERAS S.A.;7842424,0;401508220,0
2025-01-01;G0146;ANDES GENERACIÓN SPA;-48341,0;-1965362,0
2025-01-01;G0147;HIDROELÉCTRICA LLEUQUEREO S.A.;-852,0;-33079,0
2025-01-01;G0148;EMPRESA ELÉCTRICA LA LEONERA S.A.;2426270,0;296490400,0
2025-01-01;G0149;LOS GUINDOS GENERACIÓN SPA;-179367,0;-7122518,0
2025-01-01;G0152;AGRÍCOLA ANCALÍ LIMITADA;-93,0;-3645,0
2025-01-01;G0155;ENERGÍA COLLIL S.A.;220640,0;30436331,0
2025-01-01;G0156;HIDROELÉCTRICA ENSENADA S.A.;818031,0;103786517,0
2025-01-01;G0157;GENERADORA ESTANCILLA SPA;447,0;1970,0
2025-01-01;G0158;HIDROELÉCTRICA LAS FLORES S.A.;645766,0;84440016,0
2025-01-01;G0160;LOS PADRES HIDRO SPA;-848,0;-33215,0
2025-01-01;G0161;ABASTIBLE S.A.;-10802201,0;-449802959,0
2025-01-01;G0162;GENERADORA ELÉCTRICA MARÍA ELENA LTDA;1099,0;118872,0
2025-01-01;G0163;PSF LOMAS COLORADAS S.A.;352797,0;1058407,0
2025-01-01;G0164;PSF PAMA S.A.;426818,0;1378950,0
2025-01-01;G0165;COCHARCAS SOLAR SPA;2696655,0;34850935,0
2025-01-01;G0167;GENERADORA ELÉCTRICA KALTEMP LTDA.;591856,0;2416564,0
2025-01-01;G0168;JAVIERA SPA;638866,0;-475103158,0
2025-01-01;G0170;ENERGÍAS UCUQUER S.A.;900838,0;34650864,0
2025-01-01;G0171;PARQUE SOLAR FOTOVOLTAICO LUZ DEL NORTE SPA;5831593,0;-326123330,0
2025-01-01;G0172;LINZOR DE VERANO SPA;778936,0;11710890,0
2025-01-01;G0173;SOCIEDAD AGRÍCOLA Y GANADERA CURILEUFU LTDA.;446,0;-218257,0
2025-01-01;G0174;HIDROELÉCTRICA PICHILONCO S.A.;7088,0;863651,0
2025-01-01;G0175;ENERGÍA ATACAMA S.A.;137273,0;557282,0
2025-01-01;G0176;HIDROELÉCTRICA EL CANELO S.A.;1680034,0;61598429,0
2025-01-01;G0177;EMPRESA ELÉCTRICA CARÉN S.A.;365570,0;-96664440,0
2025-01-01;G0179;HIDROELÉCTRICA EL PASO SPA;28262822,0;1180085904,0
2025-01-01;G0183;PMGD BIO BIO NEGRETE S.A.;144884,0;2295641,0
2025-01-01;G0186;HIDROELÉCTRICA TRAILELFU SPA;167438,0;6808903,0
2025-01-01;G0188;CHUNGUNGO S.A.;8644679,0;-70967397,0
2025-01-01;G0191;CENTRAL HIDROELÉCTRICA RÍO MULCHÉN S.A.;91514,0;2763983,0
2025-01-01;G0192;LAS MOLLACAS SPA;46885,0;-118167,0
2025-01-01;G0193;LA CHAPEANA SPA;37470,0;1013028,0
2025-01-01;G0195;CONEJO SOLAR SPA;9491833,0;-567671685,0
2025-01-01;G0198;HANWHA Q CELLS TIL TIL UNO SPA;466487,0;6888542,0
2025-01-01;G0199;RÍO ALTO SPA;4526878,0;579310095,0
2025-01-01;G0200;EÓLICA LA ESPERANZA S.A.;3539561,0;99931332,0
